co_kV:	690.0026667
co_mA:	34689.19811
co_sec:	29106
co_D:	-67396.55975
co_size_times:	3.9982002504686105

calculate formula:
DAP_uGym2 = (co_kV*kV + co_mA*mA + co_sec*sec + co_D) * co_size_times / 100000


kV	uA	ms	DAP_uGym2
60	500	500	0.23594176547312543
60	500	550	0.2941275737181952
60	500	625	0.38140628608579963
60	500	700	0.4686849984534046
60	500	800	0.5850566149435442
60	500	900	0.7014282314336833
60	500	1000	0.8177998479238223
60	500	1100	0.9341714644139619
60	500	1250	1.108728889149171
60	500	1400	1.2832863138843797
60	625	500	0.409309716188072
60	625	550	0.46749552443314174
60	625	625	0.5547742368007462
60	625	700	0.6420529491683512
60	625	800	0.7584245656584908
60	625	900	0.8747961821486299
60	625	1000	0.9911677986387688
60	625	1100	1.1075394151289084
60	625	1250	1.2820968398641173
60	625	1400	1.4566542645993261
60	800	500	0.6520248471889971
60	800	550	0.7102106554340669
60	800	625	0.7974893678016713
60	800	700	0.8847680801692758
60	800	800	1.0011396966594155
60	800	900	1.1175113131495544
60	800	1000	1.233882929639694
60	800	1100	1.3502545461298336
60	800	1250	1.5248119708650425
60	800	1400	1.6993693956002514
60	1000	500	0.9294135683329117
60	1000	550	0.9875993765779815
60	1000	625	1.0748780889455858
60	1000	700	1.1621568013131902
60	1000	800	1.2785284178033298
60	1000	900	1.394900034293469
60	1000	1000	1.5112716507836084
60	1000	1100	1.6276432672737482
60	1000	1250	1.802200692008957
60	1000	1400	1.976758116744166
60	1250	500	1.2761494697628046
60	1250	550	1.3343352780078745
60	1250	625	1.4216139903754788
60	1250	700	1.5088927027430834
60	1250	800	1.625264319233223
60	1250	900	1.7416359357233622
60	1250	1000	1.8580075522135016
60	1250	1100	1.9743791687036412
60	1250	1250	2.14893659343885
60	1250	1400	2.323494018174059
60	1575	500	1.7269061416216658
60	1575	550	1.7850919498667357
60	1575	625	1.87237066223434
60	1575	700	1.9596493746019445
60	1575	800	2.076020991092084
60	1575	900	2.192392607582223
60	1575	1000	2.3087642240723625
60	1575	1100	2.4251358405625023
60	1575	1250	2.5996932652977107
60	1575	1400	2.77425069003292
60	2000	500	2.3163571740524844
60	2000	550	2.374542982297554
60	2000	625	2.4618216946651583
60	2000	700	2.549100407032763
60	2000	800	2.6654720235229017
60	2000	900	2.781843640013041
60	2000	1000	2.898215256503181
60	2000	1100	3.0145868729933207
60	2000	1250	3.189144297728529
60	2000	1400	3.3637017224637384
60	2500	500	3.0098289769122704
60	2500	550	3.0680147851573394
60	2500	625	3.1552934975249447
60	2500	700	3.242572209892549
60	2500	800	3.358943826382688
60	2500	900	3.4753154428728275
60	2500	1000	3.591687059362967
60	2500	1100	3.7080586758531067
60	2500	1250	3.8826161005883155
60	2500	1400	4.057173525323524
60	3150	500	3.9113423206299927
60	3150	550	3.9695281288750612
60	3150	625	4.0568068412426666
60	3150	700	4.144085553610271
60	3150	800	4.26045717010041
60	3150	900	4.37682878659055
60	3150	1000	4.49320040308069
60	3150	1100	4.6095720195708285
60	3150	1250	4.784129444306038
60	3150	1400	4.958686869041246
60	4000	500	5.090244385491628
60	4000	550	5.148430193736698
60	4000	625	5.2357089061043025
60	4000	700	5.322987618471908
60	4000	800	5.439359234962046
60	4000	900	5.555730851452187
60	4000	1000	5.6721024679423255
60	4000	1100	5.788474084432465
60	4000	1250	5.963031509167673
60	4000	1400	6.137588933902884
60	5000	500	6.477187991211201
60	5000	550	6.53537379945627
60	5000	625	6.622652511823875
60	5000	700	6.709931224191481
60	5000	800	6.826302840681618
60	5000	900	6.9426744571717585
60	5000	1000	7.059046073661897
60	5000	1100	7.175417690152038
60	5000	1250	7.349975114887246
60	5000	1400	7.524532539622456
61	500	500	0.26352945382136517
61	500	550	0.3217152620664349
61	500	625	0.40899397443403934
61	500	700	0.49627268680164377
61	500	800	0.6126443032917833
61	500	900	0.729015919781923
61	500	1000	0.8453875362720621
61	500	1100	0.9617591527622016
61	500	1250	1.1363165774974104
61	500	1400	1.3108740022326193
61	625	500	0.4368974045363117
61	625	550	0.4950832127813815
61	625	625	0.5823619251489859
61	625	700	0.6696406375165903
61	625	800	0.7860122540067299
61	625	900	0.9023838704968696
61	625	1000	1.0187554869870086
61	625	1100	1.1351271034771482
61	625	1250	1.309684528212357
61	625	1400	1.484241952947566
61	800	500	0.6796125355372369
61	800	550	0.7377983437823066
61	800	625	0.825077056149911
61	800	700	0.9123557685175154
61	800	800	1.0287273850076553
61	800	900	1.1450990014977946
61	800	1000	1.2614706179879338
61	800	1100	1.3778422344780734
61	800	1250	1.5523996592132823
61	800	1400	1.7269570839484911
61	1000	500	0.9570012566811514
61	1000	550	1.0151870649262211
61	1000	625	1.1024657772938256
61	1000	700	1.18974448966143
61	1000	800	1.3061161061515696
61	1000	900	1.4224877226417092
61	1000	1000	1.5388593391318481
61	1000	1100	1.655230955621988
61	1000	1250	1.8297883803571968
61	1000	1400	2.0043458050924055
61	1250	500	1.3037371581110444
61	1250	550	1.3619229663561143
61	1250	625	1.4492016787237187
61	1250	700	1.5364803910913232
61	1250	800	1.6528520075814626
61	1250	900	1.7692236240716024
61	1250	1000	1.8855952405617413
61	1250	1100	2.001966857051881
61	1250	1250	2.17652428178709
61	1250	1400	2.3510817065222986
61	1575	500	1.7544938299699055
61	1575	550	1.8126796382149755
61	1575	625	1.8999583505825797
61	1575	700	1.9872370629501843
61	1575	800	2.103608679440324
61	1575	900	2.2199802959304633
61	1575	1000	2.3363519124206023
61	1575	1100	2.452723528910742
61	1575	1250	2.6272809536459514
61	1575	1400	2.801838378381159
61	2000	500	2.3439448624007237
61	2000	550	2.402130670645793
61	2000	625	2.489409383013398
61	2000	700	2.5766880953810025
61	2000	800	2.6930597118711423
61	2000	900	2.8094313283612817
61	2000	1000	2.9258029448514202
61	2000	1100	3.04217456134156
61	2000	1250	3.2167319860767685
61	2000	1400	3.3912894108119787
61	2500	500	3.0374166652605092
61	2500	550	3.0956024735055796
61	2500	625	3.1828811858731836
61	2500	700	3.2701598982407885
61	2500	800	3.3865315147309283
61	2500	900	3.502903131221068
61	2500	1000	3.619274747711206
61	2500	1100	3.735646364201346
61	2500	1250	3.910203788936555
61	2500	1400	4.084761213671765
61	3150	500	3.9389300089782315
61	3150	550	3.9971158172233006
61	3150	625	4.084394529590906
61	3150	700	4.17167324195851
61	3150	800	4.288044858448649
61	3150	900	4.404416474938789
61	3150	1000	4.520788091428928
